ID,CODAREA,DISTRITO,RECNUM,MOR_DOM,RENDA,CB,ENERGIA,XCENTR,YCENTR
300,3550308999316,355030837,316,3.70259,1279.64,12.00551,246.55087,350492,7396350
301,3550308999317,355030837,317,4.05482,1092.69,11.34186,243.12966,350296,7397990
302,3550308999318,355030837,318,3.67604,1118.91,11.63918,234.44727,351872,7397940
303,3550308999319,355030874,319,3.71742,1100.96,11.57437,226.25035,353300,7398690
304,3550308999320,355030874,320,3.79657,903.42,10.89931,223.44206,353501,7398060
305,3550308999321,355030837,321,3.61656,1195.38,11.93101,240.04513,352646,7396740
306,3550308999322,355030837,322,3.66121,1190.96,11.99893,240.08198,353258,7396410
307,3550308999323,355030837,323,3.65796,1398.19,12.36105,251.41523,351034,7395260
308,3550308999324,355030824,324,3.73304,1322.76,12.32375,247.48771,349832,7394200
309,3550308999325,355030857,325,3.76710,1414.74,12.49021,255.54295,349272,7392470
310,3550308999326,355030857,326,3.72276,1364.38,12.31421,234.83261,350730,7394040
311,3550308999327,355030857,327,3.85373,904.42,11.26858,229.77288,350956,7390730
312,3550308999328,355030873,328,3.67787,1220.12,12.02465,238.10731,349165,7390400
313,3550308999329,355030873,329,3.66821,1091.39,11.90957,230.35337,349169,7387870
314,3550308999330,355030873,330,3.80875,1081.70,11.83842,231.78928,348209,7389070
315,3550308999331,355030873,331,3.61009,1508.29,13.23116,249.21262,350856,7388470
316,3550308999332,355030876,332,3.82215,1074.05,11.62327,225.82038,347184,7387140
317,3550308999333,355030876,333,3.84366,904.80,10.80161,193.42279,348248,7387030
318,3550308999334,355030875,334,3.79507,852.90,10.49801,207.90894,351577,7387390
319,3550308999335,355030875,335,3.60971,1110.87,11.77105,231.41846,350044,7386710
320,3550308999336,355030875,336,3.52240,1223.71,12.67995,239.22373,349795,7385690
321,3550308999337,355030858,337,3.75027,1064.43,11.80063,239.30106,332625,7376890
322,3550308999339,355030858,339,3.81027,831.94,10.82436,190.03638,333946,7377350
323,3550308999340,355030858,340,3.54674,1342.19,12.38595,216.88507,329605,7378600
324,3550308999342,355030823,342,3.61065,1268.17,12.03381,208.02067,328450,7376460
325,3550308999343,355030823,343,3.74537,945.62,11.00722,213.85747,328766,7375890
326,3550308999344,355030823,344,3.74739,1404.52,12.95842,247.50633,328221,7374780
327,3550308999345,355030823,345,3.78117,1721.92,13.12761,229.77980,327253,7377380
328,3550308999346,355030823,346,3.63813,1594.32,13.03564,265.66106,326784,7375870
329,3550308999347,355030879,347,3.26081,2100.74,14.08826,262.82321,325069,7380700
330,3550308999348,355030879,348,3.49992,3187.23,16.33741,355.80130,325758,7378970
331,3550308999350,355030846,350,3.72713,889.45,10.94208,179.26519,321961,7380050
332,3550308999351,355030846,351,3.58936,1193.36,11.77713,224.57749,323110,7380600
333,3550308999352,355030846,352,3.68469,1197.09,11.48790,248.41064,322292,7378420
334,3550308999356,355030846,356,3.51207,1241.15,11.53411,225.48727,322819,7382480
